a,b,c,d,e,f,g,h
1,2,2.5714477,0.0600580,2.4434427,0.0753,0.797,-7950.910 + 629.898i
1,3,2.8334973,0.1008799,2.2174664,0.1268,0.795,-7954.286 + 39.703i
1,4,0.5060131,0.1383183,12.4170387,0.1612,0.857,-8579.779 + -42.905i
1,5,0.4075476,0.1413112,15.4170585,0.1657,0.852,-8527.866 + 96.697i
1,6,0.3411608,0.1404853,18.4170739,0.1656,0.848,-8481.219 + 139.212i
1,7,0.2933728,0.1401227,21.4170681,0.1658,0.845,-8451.664 + 82.392i
1,8,0.2573278,0.1418084,24.4170405,0.1681,0.843,-8433.192 + -16.009i
1,9,0.2291699,0.1448657,27.4171464,0.1720,0.842,-8419.458 + 197.206i
2,3,1.1650122,0.0763468,5.3932355,0.0921,0.828,-8274.765 + 354.046i
3,4,2.2090393,0.1032148,2.8443067,0.1202,0.858,-8580.751 + 189.010i
3,5,2.0048486,0.0976665,3.1339948,0.1132,0.862,-8620.021 + 276.095i
3,7,2.1653662,0.1139341,2.9016732,0.1328,0.857,-8575.189 + 83.865i
3,8,2.0338232,0.1302185,3.0893467,0.1518,0.857,-8574.628 + -4.904i
3,10,2.1437414,0.1231638,2.9309436,0.1429,0.861,-8609.816 + -330.867i
5,7,3.2044799,0.0953540,1.9607503,0.1092,0.872,-8700.912 + -685.2187i
5,8,1.2287890,0.1074708,5.1133148,0.1229,0.874,-8742.485 + -68.702i
5,9,2.4845837,0.1060436,2.5288683,0.1215,0.872,-8721.638 + 319.693i
