a,b,c,d
3630,2,2,1
1356,3,3,1
382,47,15,3
266,69,20,5
192,69,20,6
178,47,15,4
176,47,15,6
163,47,15,5
161,36,13,4
161,102,27,9
146,47,15,2
138,69,20,4
137,102,27,7
136,102,27,10
121,69,20,3
119,102,27,8
113,36,13,2
111,8,6,1
109,69,20,7
89,47,15,1
85,36,13,3
79,36,13,5
70,8,6,2
69,102,27,11
65,102,27,6
63,339,59,25
62,339,59,26
61,69,20,8
51,339,59,27
49,339,59,24
48,339,59,28
47,339,59,29
44,102,27,5
43,47,15,7
43,339,59,30
42,339,59,23
39,69,20,1
39,339,59,22
39,273,53,23
39,102,27,4
37,273,53,20
33,69,20,2
