a,b,c
$\ulam{1}{8}$,-2.31667e-8, X^6 - 31*X^5 + 159*X^4 + 48*X^3 - 129*X^2 - 198*X + 186
             ,2.594686e-8, 8*X^4 - 185*X^3 - 257*X^2 + 91*X + 531
             ,2.594686e-8, 8*X^4 - 185*X^3 - 257*X^2 + 91*X + 531
             ,-1.37175e-7, -69*X^3 + 1747*X^2 - 1512*X - 179
	     ,-6.03244e-7, 2*X^7 - 53*X^6 + 104*X^5 - 57*X^4 + 31*X^3 + 30*X^2 - 76*X + 39
	     ,-1.16624e-6, 387*X^2 - 9369*X - 1963
	     ,0.000057, 2*X^8 - 45*X^7 - 97*X^6 + 81*X^5 + 41*X^4 - 44*X^3 - 9*X^2 + 102*X - 21
	     ,-0.00016, X^9 - 21*X^8 - 83*X^7 - 14*X^6 + 82*X^5 + 24*X^4 + 56*X^3 + 72*X^2 - 70*X - 61
$\ulam{1}{9}$,1.355340e-8, 16*X^4 - 428*X^3 - 278*X^2 - 369*X - 903
             ,-2.55149e-8, -5*X^6 + 143*X^5 - 166*X^4 + 109*X^3 - 99*X^2 + 81*X - 110
	     ,-3.50504e-8, X^5 - 40*X^4 + 357*X^3 - 330*X^2 + 11*X + 156
	     ,-1.16796e-7, -21*X^3 + 468*X^2 + 2930*X + 671
	     ,-8.03604e-7, -79*X^2 + 2175*X - 248
	     ,-2.66942e-6, 3*X^7 - 81*X^6 - 33*X^5 - 38*X^4 + 57*X^3 - 9*X^2 - 157*X - 176
	     ,-0.00002, -2*X^8 + 53*X^7 + 55*X^6 - 127*X^5 - 55*X^4 - 75*X^3 + 10*X^2 + 17*X - 70
	     ,0.001502, X^9 - 26*X^8 - 41*X^7 + 57*X^6 + 50*X^5 + 8*X^4 - 8*X^3 + 136*X^2 + 79
$\ulam{1}{6}$,-3.61544e-9, 16*X^5 - 298*X^4 + 62*X^3 - 5*X^2 - 160*X + 84
             ,1.183266e-8, -5*X^6 + 90*X^5 + 42*X^4 - 71*X^3 + 96*X^2 - 130*X - 80
 	     ,-1.27265e-8, 15*X^4 - 284*X^3 + 182*X^2 - 756*X + 566
	     ,-4.02577e-8, X^7 - 17*X^6 - 20*X^5 - 111*X^4 - 25*X^3 + 18*X^2 - 50*X - 170
	     ,-6.31648e-8, -52*X^3 + 946*X^2 + 327*X - 2058
	     ,3.257488e-7, X^8 - 17*X^7 - 23*X^6 - 58*X^5 + 15*X^4 + 38*X^3 + 65*X^2 + 48*X + 118
	     ,8.495017e-7, -335*X^2 + 5774*X + 7288
	     ,0.000038, -X^9 + 20*X^8 - 24*X^7 - 93*X^6 - 33*X^5 - 38*X^4 + 21*X^3 - 28*X^2 - 2*X - 53
$\ulam{1}{7}$,3.779936e-8, 12*X^5 - 246*X^4 - 249*X^3 + 292*X^2 - 141*X - 172
             ,4.591231e-8, X^7 - 14*X^6 - 163*X^5 + 88*X^4 + 18*X^3 - X^2 + 38*X - 207
	     ,-5.00432e-8, -3*X^6 + 64*X^5 + 11*X^4 - 107*X^3 - 295*X^2 + 191*X - 49
	     ,5.025549e-8, -12*X^3 + 282*X^2 - 566*X + 657
	     ,5.025549e-8, -12*X^3 + 282*X^2 - 566*X + 657
	     ,-5.12113e-7, -322*X^2 + 7115*X - 4684
	     ,-8.43628e-6, X^8 - 23*X^7 + 35*X^6 - 23*X^5 - 4*X^4 - 157*X^3 + 78*X^2 + 5*X + 33
	     ,0.000065, X^9 - 17*X^8 - 95*X^7 + 10*X^6 - 35*X^5 + 90*X^4 - 89*X^3 + X^2 - 12*X + 9
$\ulam{1}{4}$,-5.92950e-9, -5*X^6 + 52*X^5 + 131*X^4 - 67*X^3 - 54*X^2 - 56*X + 84
             ,-2.08248e-8, -15*X^5 + 189*X^4 - 38*X^3 + 59*X^2 - 147*X + 238
	     ,2.244007e-8, -23*X^3 + 295*X^2 - 186*X + 859
	     ,3.804507e-8, -6*X^7 + 76*X^6 - 15*X^5 - 42*X^4 - 29*X^3 - 56*X^2 + 45*X + 16
	     ,5.609715e-8, -7*X^4 + 85*X^3 + 42*X^2 - 214*X - 144
	     ,-1.59997e-7, -3*X^8 + 38*X^7 - 8*X^6 - 16*X^5 - 6*X^4 + 54*X^3 + 11*X^2 - 40*X + 49
	     ,-3.86813e-7, X^9 - 13*X^8 + 6*X^7 + 11*X^6 + 55*X^5 - 7*X^4 - 4*X^3 - 38*X^2 + 28*X - 5
	     ,-5.95939e-7, 709*X^2 - 8442*X - 4491
$\ulam{1}{5}$,-3.78145e-9, 5*X^6 - 78*X^5 + 12*X^4 + 34*X^3 - 33*X^2 + 138*X - 117
             ,-6.63621e-9, -4*X^5 + 65*X^4 - 35*X^3 - 268*X^2 + 249*X - 111
	     ,-4.95884e-8, 15*X^4 - 195*X^3 - 559*X^2 - 3*X + 56
	     ,-6.09004e-8, 47*X^3 - 809*X^2 + 1293*X + 126
	     ,1.486395e-7, 4*X^7 - 60*X^6 - 21*X^5 - 75*X^4 + 29*X^3 + 78*X^2 + 126*X - 40
	     ,2.386859e-7, -401*X^2 + 5860*X + 4968
	     ,-3.20728e-7, 4*X^8 - 63*X^7 + 19*X^6 + 26*X^5 - 39*X^4 + 29*X^3 + 92*X^2 + 10*X - 13
	     ,-1.66662e-6, X^9 - 12*X^8 - 49*X^7 - 62*X^6 + 83*X^5 - 30*X^4 - 29*X^3 + 25*X^2 - 10*X + 36
$\ulam{1}{2}$,-6.74241e-10, -6*X^5 + 4*X^4 + 23*X^3 - 2*X^2 + 28*X - 12
             ,-6.74241e-10, -6*X^5 + 4*X^4 + 23*X^3 - 2*X^2 + 28*X - 12
	     ,-6.74241e-10, -6*X^5 + 4*X^4 + 23*X^3 - 2*X^2 + 28*X - 12
	     ,1.258349e-9, X^8 - 2*X^7 - 9*X^6 + 18*X^5 - 3*X^4 + 11*X^3 + 10*X^2 + 4*X - 6
	     ,1.445176e-9, X^9 - 12*X^7 + 12*X^6 + 10*X^5 - 8*X^4 + 3*X^3 - 5*X^2 - 7*X - 1
	     ,-8.80601e-9, -34*X^4 + 39*X^3 + 149*X^2 - 87*X - 34
	     ,5.285701e-8, 3*X^3 - 109*X^2 + 212*X + 89
	     ,2.405924e-7, -215*X^2 + 1359*X - 2037
$\ulam{1}{3}$,-1.08931e-10, X^8 - 4*X^7 + 6*X^6 - 7*X^5 + X^4 + X^3 + 9*X^2 + 21*X + 6
             ,2.362181e-10, -10*X^7 + 11*X^6 + 23*X^5 + 5*X^4 - 2*X^3 - 7*X^2 + 8*X + 13
 	     ,2.645901e-10, -5*X^9 + 11*X^8 + 4*X^7 - 6*X^6 - 7*X^5 - 2*X^4 + 8*X^3 + 7*X^2 + 4*X + 3
	     ,-1.57945e-9, 10*X^5 - 22*X^4 - 9*X^3 + 10*X^2 - 15*X + 78
	     ,-1.69486e-9, -4*X^6 - 10*X^5 + 31*X^4 + 24*X^3 + 2*X^2 + 3*X - 16
