a,b,c
$\ulam{1}{2}$,-6.742e-10, -6X^5 + 4X^4 + 23X^3 - 2X^2 + 28X - 12
             ,-6.742e-10, -6X^5 + 4X^4 + 23X^3 - 2X^2 + 28X - 12
	     ,-6.742e-10, -6X^5 + 4X^4 + 23X^3 - 2X^2 + 28X - 12
	     ,1.2583e-9, X^8 - 2X^7 - 9X^6 + 18X^5 - 3X^4 + 11X^3 + 10X^2 + 4X - 6
	     ,1.4451e-9, X^9 - 12X^7 + 12X^6 + 10X^5 - 8X^4 + 3X^3 - 5X^2 - 7X - 1
	     ,-8.806e-9, -34X^4 + 39X^3 + 149X^2 - 87X - 34
	     ,5.2857e-8, 3X^3 - 109X^2 + 212X + 89
	     ,2.4059e-7, -215X^2 + 1359X - 2037
$\ulam{1}{3}$,-1.089e-10, X^8 - 4X^7 + 6X^6 - 7X^5 + X^4 + X^3 + 9X^2 + 21X + 6
             ,2.3621e-10, -10X^7 + 11X^6 + 23X^5 + 5X^4 - 2X^3 - 7X^2 + 8X + 13
 	     ,2.6459e-10, -5X^9 + 11X^8 + 4X^7 - 6X^6 - 7X^5 - 2X^4 + 8X^3 + 7X^2 + 4X + 3
	     ,-1.579e-9, 10X^5 - 22X^4 - 9X^3 + 10X^2 - 15X + 78
	     ,-1.694e-9, -4X^6 - 10X^5 + 31X^4 + 24X^3 + 2X^2 + 3X - 16
	     ,1.2805e-8, -5X^4 + 24X^3 - 2X^2 - 55X - 9
	     ,1.4511e-8, 59X^3 - 62X^2 - 209X + 125
	     ,-2.285e-7, 244X^2 - 629X + 195
$\ulam{1}{9}$,1.3553e-8, 16X^4 - 428X^3 - 278X^2 - 369X - 903
             ,-2.551e-8, -5X^6 + 143X^5 - 166X^4 + 109X^3 - 99X^2 + 81X - 110
	     ,-3.505e-8, X^5 - 40X^4 + 357X^3 - 330X^2 + 11X + 156
	     ,-1.167e-7, -21X^3 + 468X^2 + 2930X + 671
	     ,-8.036e-7, -79X^2 + 2175X - 248
	     ,-2.669e-6, 3X^7 - 81X^6 - 33X^5 - 38X^4 + 57X^3 - 9X^2 - 157X - 176
	     ,-0.00002, -2X^8 + 53X^7 + 55X^6 - 127X^5 - 55X^4 - 75X^3 + 10X^2 + 17X - 70
	     ,0.001502, X^9 - 26X^8 - 41X^7 + 57X^6 + 50X^5 + 8X^4 - 8X^3 + 136X^2 + 79
$\ulam{2}{3}$,-6.626e-11, 3X^8 - 15X^7 + X^6 - 36X^5 - 20X^4 + 2X^3 - 8X^2 - 19X + 26
             ,-8.778e-10, 2X^9 - 11X^8 + 2X^7 - 4X^6 - 6X^5 + 16X^4 - 6X^3 + 18X^2 + 17X + 3
	     ,-1.407e-9, -7X^7 + 34X^6 + 22X^5 - 11X^4 + 4X^3 + 16X^2 + 38X - 27
	     ,4.8321e-9, 10X^6 - 53X^5 - 4X^4 - 7X^3 + 8X^2 + 11X - 64
	     ,7.1473e-9, -10X^5 + 56X^4 - 27X^3 + 78X^2 + 52X - 63
	     ,-1.300e-8, 33X^4 - 163X^3 - 77X^2 - 7X - 72
	     ,-2.169e-8, -3X^3 - 85X^2 + 412X + 721
	     ,-1.977e-7, 674X^2 - 3366X - 1451
$\ulam{3}{4}$,4.4999e-10, -5X^5 + 13X^4 - X^3 + 5X^2 + 16X + 17
             ,4.4999e-10, -5X^5 + 13X^4 - X^3 + 5X^2 + 16X + 17
	     ,4.4999e-10, -5X^5 + 13X^4 - X^3 + 5X^2 + 16X + 17
	     ,4.4999e-10, -5X^5 + 13X^4 - X^3 + 5X^2 + 16X + 17
	     ,4.4999e-10, -5X^5 + 13X^4 - X^3 + 5X^2 + 16X + 17
	     ,-3.030e-9, -20X^4 + 83X^3 - 23X^2 - 136X - 28
	     ,-2.031e-8, -53X^3 + 82X^2 + 153X + 121
	     ,-4.504e-8, 588X^2 - 1850X + 505
