a,b,c
2,3631,0.18148283910656193
3,1357,0.2277757413401571
47,1192,0.2351532809957959
69,1006,0.23884205082361376
102,840,0.25562479443465946
339,592,0.2613412285622303
36,468,0.2666911039181148
273,307,0.27240753804569806
8,182,0.27406864357375227
2581,93,0.296396132981954
400,60,0.29656782131237946
983,54,0.301184579124822
97,49,0.3019176966682551
356,25,0.30394536096801517
1155,25,0.306339584039506
206,36,0.3072675720241307
53,37,0.3092952363238908
1308,22,0.31022322430851546
9193,19,0.31413004668820577
14892,10,0.32121998745969904
